retx    NDN         PathSplicing
1   2.2149488307    0.1380090498
2   0.8031734779    0.4562594268
3   0.3861265922    0.5648567119
4   0.1606346956    0.5422322775
5   0.040724289     0.5045248869
6   0.006033228     0.4245852187
7   0.0098039955    0.3725490196
8   0.004524921     0.3514328808
9   0.007541535     0.3220211162
10  0.0007541535    0.3084464555
11  0               0.2488687783
12  0               0.2352941176
13  0               0.2556561086
14  0               0.2021116139
15  0               0.1953242836
16  0               0.1960784314
17  0               0.1711915535
18  0               0.177224736
19  0               0.1546003017
20  0               0.1440422323
